endpoint,is_active,name,position,years_active
/players/A/AlexSh00.htm,False,Shaun Alexander,RB,2000-2008
/players/A/AlexSt00.htm,False,Stephen Alexander,TE,1998-2006
/players/A/AlexVa00.htm,True,Vadal Alexander,OG,2016-2016
/players/A/AlexVi20.htm,False,Vincent Alexander,RB,1987-1987
/players/A/AlexWi20.htm,False,Willie Alexander,DB,1971-1979
/players/A/AlexAl20.htm,False,Alton Alexis,WR,1980-1980
/players/A/AlexRi00.htm,False,Rich Alexis,RB,2005-2007
/players/A/AlflTe20.htm,False,Ted Alflen,RB,1969-1969
/players/A/AlfoJu20.htm,False,Julie Alfonse,WB-TB-DB,1937-1938
/players/A/AlfoBr00.htm,False,Brian Alford,WR,1998-1999
/players/A/AlfoBr01.htm,False,Bruce Alford,E-DB,1946-1951
/players/A/AlfoBr20.htm,False,Bruce Alford,K,1967-1969
/players/A/AlfoDa20.htm,False,Darnell Alford,G,2000-2001
/players/A/AlfoDo00.htm,False,Dominic Alford,OL,2012-2012
/players/A/AlfoGe20.htm,False,Gene Alford,WB-DB-BB-FB,1931-1934
/players/A/AlfoJa99.htm,False,Jay Alford,DT,2007-2010
/players/A/AlfoLy20.htm,False,Lynwood Alford,LB,1987-1987
/players/A/AlfoMa00.htm,True,Mario Alford,WR,2015-2015
/players/A/AlfoMi20.htm,False,Mike Alford,C,1965-1966
/players/A/AlfoRo00.htm,True,Robert Alford,CB,2013-2016
/players/A/AlfsWa20.htm,False,Warren Alfson,G-LB,1941-1941
/players/A/AlixCh00.htm,False,Charles Ali,RB,2007-2008
/players/A/AlipTu20.htm,False,Tuineau Alipate,LB,1994-1995
/players/A/AllaDo20.htm,False,Don Allard,QB,1961-1962
/players/A/allegrau01.htm,False,Raul Allegre,K,1983-1991
/players/A/AlleAn20.htm,False,Andy Alleman,G,2008-2009
/players/A/AlleAn00.htm,False,Anthony Allen,WR,1985-1989
/players/A/AlleAn01.htm,False,Anthony Allen,RB,2011-2012
/players/A/AlleAn02.htm,True,Antonio Allen,SS,2012-2016
/players/A/AlleAr00.htm,False,Armando Allen,RB,2011-2012
/players/A/AlleAs99.htm,False,Asher Allen,DB,2009-2011
/players/A/AlleBe00.htm,True,Beau Allen,DT,2014-2016
/players/A/AlleBr21.htm,False,Brian Allen,LB,2001-2004
/players/A/AlleBr20.htm,False,Brian Allen,RB,2003-2003
/players/A/AlleBu00.htm,False,Buddy Allen,HB,1961-1961
/players/A/AlleCa20.htm,False,Carl Allen,RB-DB,1948-1948
/players/A/AlleCa21.htm,False,Carl Allen,DB,1977-1982
/players/A/AlleCh00.htm,False,Chuck Allen,LB,1961-1972
/players/A/AlleCo00.htm,True,Cortez Allen,DB,2011-2015
/players/A/AlleDa20.htm,False,Dalva Allen,DE,1960-1964
/players/A/AlleDa00.htm,False,David Allen,RB,2003-2005
/players/A/AlleDe20.htm,False,Derek Allen,G,1995-1995
/players/A/AlleDo01.htm,False,Don Allen,FB,1960-1960
/players/A/AlleDo20.htm,False,Doug Allen,LB,1974-1975
/players/A/AlleDu00.htm,False,Duane Allen,TE,1961-1967
/players/A/AlleDw00.htm,True,Dwayne Allen,TE,2012-2016
/players/A/AlleEa20.htm,False,Earl Allen,DB,1987-1987
/players/A/AlleEd20.htm,False,Ed Allen,E,1928-1928
/players/A/AlleEd21.htm,False,Eddie Allen,FB-LB,1947-1947
/players/A/AlleEg20.htm,False,Egypt Allen,DB,1987-1987
/players/A/AlleEr00.htm,False,Eric Allen,DB,1988-2001
/players/A/AlleEr20.htm,False,Ermal Allen,QB-DB,1947-1947
/players/A/AlleGa20.htm,False,Gary Allen,RB,1982-1984
/players/A/AlleGe20.htm,False,George Allen,T,1966-1966
/players/A/AlleJe00.htm,False,Gerry Allen,RB,1966-1969
/players/A/AlleGr20.htm,False,Grady Allen,LB,1968-1972
/players/A/AlleGr21.htm,False,Greg Allen,RB,1985-1986
/players/A/AlleHa20.htm,False,Harvey Allen,DB,1987-1987
/players/A/AlleIa20.htm,False,Ian Allen,T,2002-2005
/players/A/AlleJa20.htm,False,Jackie Allen,DB,1969-1972
/players/A/AlleJa24.htm,False,Jake Allen,WR,2009-2009
/players/A/AlleJa00.htm,False,James Allen,RB,1998-2002
/players/A/AlleJa21.htm,False,James Allen,LB,2002-2005
/players/A/AlleJa22.htm,True,Jared Allen,DE,2004-2015
/players/A/AlleJa23.htm,False,Jason Allen,DB,2006-2012
/players/A/AlleJa01.htm,True,Javorius Allen,RB,2015-2016
/players/A/AlleJe21.htm,False,Jeff Allen,DB,1971-1971
/players/A/AlleJe20.htm,False,Jeff Allen,DB,1980-1982
/players/A/AlleJe01.htm,True,Jeff Allen,T,2012-2016
/players/A/AlleJi20.htm,False,Jimmy Allen,DB,1974-1981
/players/A/AlleJo20.htm,False,Johnny Allen,C-LB,1955-1958
/players/A/AlleJo00.htm,True,Josh Allen,C,2014-2014
/players/A/AlleKe00.htm,True,Keenan Allen,WR,2013-2016
/players/A/AlleKe20.htm,False,Kenderick Allen,DT,2003-2006
/players/A/AlleKe21.htm,False,Kevin Allen,T,1985-1985
/players/A/AlleLa00.htm,False,Larry Allen,G-T,1994-2007
/players/A/AlleLo20.htm,False,Lou Allen,T,1950-1951
/players/A/AlleLy20.htm,False,Lynn Allen,WB,1920-1920
/players/A/AlleMa00.htm,False,Marcus Allen,RB,1982-1997
/players/A/AlleMa01.htm,False,Marvin Allen,RB,1988-1991
/players/A/AlleMa20.htm,False,Matt Allen,P,2002-2002
/players/A/AlleNa20.htm,False,Nate Allen,DB,1971-1979
/players/A/AlleNa99.htm,True,Nate Allen,DB,2010-2016
/players/A/AllePa20.htm,False,Patrick Allen,DB,1984-1990
/players/A/AlleRa00.htm,True,Rashaun Allen,TE,2014-2014
/players/A/AlleRi00.htm,True,Ricardo Allen,CB,2015-2016
/players/A/AlleRo20.htm,False,Roger Allen,G,2009-2012
/players/A/AlleRu00.htm,False,Russell Allen,LB,2009-2013
/players/A/AlleRy01.htm,True,Ryan Allen,P,2013-2016
/players/A/AlleTa20.htm,False,Taje Allen,DB,1997-2002
/players/A/AlleTe00.htm,False,Terry Allen,RB,1991-2001
/players/A/AlleTr00.htm,False,Tremayne Allen,TE,1997-1997
/players/A/AlleWi20.htm,False,Will Allen,DB,2001-2012
/players/A/AlleWi21.htm,True,Will Allen,DB,2004-2015
/players/A/AlleKu20.htm,False,Kurt Allerman,LB,1977-1985
/players/A/AlleTy20.htm,False,Ty Allert,LB,1986-1990
/players/A/AlleDo00.htm,False,Don Alley,WR,1967-1969
/players/A/AlliAu00.htm,False,Aundrae Allison,WR,2007-2008
/players/A/AlliGe01.htm,True,Geronimo Allison,WR,2016-2016
/players/A/AlliHe20.htm,False,Henry Allison,G-T,1971-1977
/players/A/AlliJi00.htm,False,Jim Allison,RB,1965-1968
/players/A/AlliNe20.htm,False,Neely Allison,E,1926-1928
/players/A/AlliBu20.htm,False,Buddy Alliston,LB,1960-1960
/players/A/AllmBo20.htm,False,Bob Allman,E,1936-1936
/players/A/AllrBr20.htm,False,Brian Allred,DB,1993-1993
/players/A/AllrCo99.htm,False,Colin Allred,LB,2007-2010
/players/A/AllrJo00.htm,False,John Allred,TE,1997-2002
/players/A/AlltJo20.htm,False,Joe Allton,T,1942-1942
/players/A/AlmxJe20.htm,False,Jeff Alm,DT,1990-1993
/players/A/AlmoBe20.htm,False,Beau Almodobar,WR,1987-1987
/players/A/AlonKi00.htm,True,Kiko Alonso,ILB,2013-2016
/players/A/AlphGe20.htm,False,Gerald Alphin,WR,1990-1991
/players/A/AlstJo20.htm,False,Jon Alston,LB,2006-2009
/players/A/AlstLy20.htm,False,Lyneal Alston,WR,1987-1987
/players/A/AlstMa00.htm,False,Mack Alston,TE,1970-1980
/players/A/AlstOB20.htm,False,O'Brien Alston,LB,1988-1989
/players/A/AlstRi20.htm,False,Richard Alston,WR,2004-2004
/players/A/AlstMi00.htm,False,Mike Alstott,RB,1996-2006
/players/A/AltxJo00.htm,False,John Alt,T,1984-1996
/players/A/AlthJi20.htm,False,Jim Althoff,DT,1987-1987
/players/A/AluaTy99.htm,True,Tyson Alualu,DT,2010-2016
/players/A/alvarwil01.htm,False,Wilson Alvarez,K,1981-1981
/players/A/AlveSt20.htm,False,Steve Alvers,TE-C,1981-1982
/players/A/AlvoSt20.htm,False,Steve Alvord,DT,1987-1988
/players/A/AlwaTo20.htm,False,Tom Alward,G,1976-1976
/players/A/AlwoLa00.htm,False,Lance Alworth,FL-WR,1962-1972
/players/A/AlzaLy00.htm,False,Lyle Alzado,DE-DT,1971-1985
/players/A/AmanEu20.htm,False,Eugene Amano,C,2004-2012
/players/A/AmarJa00.htm,True,Jace Amaro,TE,2014-2016
/players/A/AmatKe20.htm,False,Ken Amato,C,2003-2011
/players/A/AmayJo00.htm,False,Jonathon Amaya,DB,2010-2012
/players/A/AmbeJo00.htm,False,John Amberg,DB-HB,1951-1952
/players/A/AmbrAs00.htm,False,Ashley Ambrose,DB,1992-2004
/players/A/AmbrDi20.htm,False,Dick Ambrose,LB,1975-1983
/players/A/AmbrJo20.htm,False,John Ambrose,C,1932-1932
/players/A/AmbrWa20.htm,False,Walt Ambrose,G,1930-1930
/players/A/AmecAl00.htm,False,Alan Ameche,FB,1955-1960
/players/A/AmenDa00.htm,True,Danny Amendola,WR,2009-2016
/players/A/AmerDa00.htm,True,David Amerson,CB,2013-2016
/players/A/AmerGl20.htm,False,Glen Amerson,DB,1961-1961
/players/A/AmesDa00.htm,False,Dave Ames,HB-DB,1961-1961
/players/A/AmeyFr00.htm,False,Otis Amey,WR,2005-2005
/players/A/AmeyVi20.htm,False,Vincent Amey,DE,1998-1998
/players/A/AmmaRi20.htm,False,Richard Amman,DE-DT,1972-1973
/players/A/AmosAd00.htm,True,Adrian Amos,FS,2015-2016
/players/A/AmslMa20.htm,False,Marty Amsler,DE,1967-1970
/players/A/AmstJo20.htm,False,Joe Amstutz,C,1957-1957
/players/A/AmukPr00.htm,True,Prince Amukamara,CB,2011-2016
/players/A/AmunNo20.htm,False,Norm Amundsen,G,1957-1957
/players/A/AmunGe00.htm,False,George Amundson,RB,1973-1975
/players/A/AnanVi20.htm,False,Vito Ananis,HB-DB,1945-1945
/players/A/AndaRu20.htm,False,Rudy Andabaker,G,1952-1954
/players/A/AndeKi00.htm,False,Kimble Anders,RB,1991-2000
/players/A/AndeJa20.htm,False,Jason Andersen,G,1999-2002
/players/A/andermor01.htm,False,Morten Andersen,K,1982-2007
/players/A/AndeSt20.htm,False,Stan Andersen,T-E,1940-1941
/players/A/Andexx20.htm,False, Anderson,WB,1922-1922
/players/A/AndeAl20.htm,False,Alec Anderson,G,1921-1921
/players/A/AndeAl00.htm,False,Alfred Anderson,RB,1984-1991
/players/A/AndeAn23.htm,False,Andre' Anderson,RB,2010-2010
/players/A/AndeAn20.htm,False,Anthony Anderson,RB,1979-1980
/players/A/AndeAn21.htm,False,Anthony Anderson,DB,1987-1987
/players/A/AndeAn22.htm,False,Antonio Anderson,DT-DE,1997-1998
/players/A/AndeAr20.htm,False,Aric Anderson,LB,1987-1987
/players/A/AndeAr21.htm,False,Art Anderson,T,1961-1963
/players/A/AndeBe20.htm,False,Bennie Anderson,G,2001-2006
/players/A/AndeBi20.htm,False,Bill Anderson,DE,1945-1945
/players/A/AndeBi00.htm,False,Bill Anderson,E-TE,1958-1966
/players/A/AndeBi01.htm,False,Billy Anderson,DB-HB,1953-1954
